,yield,n,name
25,7993.5,69.44444444444444,El Niño
26,8174.285714285715,72.22222222222221,El Niño
27,8261.57142857143,75.0,El Niño
28,8701.0,77.77777777777779,El Niño
29,8882.0,80.55555555555556,El Niño
30,8882.714285714286,83.33333333333334,El Niño
31,9021.285714285714,86.11111111111111,El Niño
32,9052.8,88.88888888888889,El Niño
33,9425.2,91.66666666666666,El Niño
34,9674.285714285714,94.44444444444444,El Niño
35,9747.4,97.22222222222221,El Niño
36,9962.0,100.0,El Niño
0,2821.1666666666665,0.0,La Niña
1,3206.090909090909,2.7777777777777777,La Niña
2,3226.75,5.555555555555555,La Niña
3,3642.7272727272725,8.333333333333332,La Niña
4,3926.285714285714,11.11111111111111,La Niña
5,4204.875,13.88888888888889,La Niña
6,4444.272727272727,16.666666666666664,La Niña
