,HDAT,DayFl,harvDM_f_hay,n_cycle,texture,date,nyear_month_day,daytoflower,period
8603,1991-07-23,0,0.0,1,clayloam,1991-07-23,2000-07-23,,1991 - 1998
8604,1991-07-24,0,0.0,1,clayloam,1991-07-24,2000-07-24,,1991 - 1998
8605,1991-07-25,0,0.0,1,clayloam,1991-07-25,2000-07-25,,1991 - 1998
8606,1991-07-26,0,0.0,1,clayloam,1991-07-26,2000-07-26,,1991 - 1998
8607,1991-07-27,0,0.0,1,clayloam,1991-07-27,2000-07-27,,1991 - 1998
8608,1991-07-28,0,0.0,1,clayloam,1991-07-28,2000-07-28,,1991 - 1998
8609,1991-07-29,0,0.0,1,clayloam,1991-07-29,2000-07-29,,1991 - 1998
8610,1991-07-30,0,0.0,1,clayloam,1991-07-30,2000-07-30,,1991 - 1998
8611,1991-07-31,0,0.0,1,clayloam,1991-07-31,2000-07-31,,1991 - 1998
8612,1991-08-01,0,0.0,1,clayloam,1991-08-01,2000-08-01,,1991 - 1998
8613,1991-08-02,0,0.0,1,clayloam,1991-08-02,2000-08-02,,1991 - 1998
8614,1991-08-03,0,0.0,1,clayloam,1991-08-03,2000-08-03,,1991 - 1998
8615,1991-08-04,0,0.0,1,clayloam,1991-08-04,2000-08-04,,1991 - 1998
8616,1991-08-05,0,0.0,1,clayloam,1991-08-05,2000-08-05,,1991 - 1998
8617,1991-08-06,0,0.0,1,clayloam,1991-08-06,2000-08-06,,1991 - 1998
8618,1991-08-07,0,0.0,1,clayloam,1991-08-07,2000-08-07,,1991 - 1998
8619,1991-08-08,0,0.0,1,clayloam,1991-08-08,2000-08-08,,1991 - 1998
8620,1991-08-09,0,0.0,1,clayloam,1991-08-09,2000-08-9,,1991 - 1998
8621,1991-08-10,0,0.0,1,clayloam,1991-08-10,2000-08-10,,1991 - 1998
8622,1991-08-11,0,0.0,1,clayloam,1991-08-11,2000-08-11,,1991 - 1998
8623,1991-08-12,0,0.0,1,clayloam,1991-08-12,2000-08-12,,1991 - 1998
8624,1991-08-13,0,0.0,1,clayloam,1991-08-13,2000-08-13,,1991 - 1998
8625,1991-08-14,0,0.0,1,clayloam,1991-08-14,2000-08-14,,1991 - 1998
8626,1991-08-15,0,0.0,1,clayloam,1991-08-15,2000-08-15,,1991 - 1998
8627,1991-08-16,0,0.0,1,clayloam,1991-08-16,2000-08-16,,1991 - 1998
8628,1991-08-17,0,0.0,1,clayloam,1991-08-17,2000-08-17,,1991 - 1998
8629,1991-08-18,0,0.0,1,clayloam,1991-08-18,2000-08-18,,1991 - 1998
8630,1991-08-19,0,0.0,1,clayloam,1991-08-19,2000-08-19,,1991 - 1998
8631,1991-08-20,0,0.0,1,clayloam,1991-08-20,2000-08-20,,1991 - 1998
8632,1991-08-21,0,0.0,1,clayloam,1991-08-21,2000-08-21,,1991 - 1998
8633,1991-08-22,0,0.0,1,clayloam,1991-08-22,2000-08-22,,1991 - 1998
8634,1991-08-23,0,0.0,1,clayloam,1991-08-23,2000-08-23,,1991 - 1998
8635,1991-08-24,0,0.0,1,clayloam,1991-08-24,2000-08-24,,1991 - 1998
8636,1991-08-25,0,0.0,1,clayloam,1991-08-25,2000-08-25,,1991 - 1998
8637,1991-08-26,0,0.0,1,clayloam,1991-08-26,2000-08-26,,1991 - 1998
8638,1991-08-27,0,0.0,1,clayloam,1991-08-27,2000-08-27,,1991 - 1998
8639,1991-08-28,0,0.0,1,clayloam,1991-08-28,2000-08-28,,1991 - 1998
8640,1991-08-29,0,0.0,1,clayloam,1991-08-29,2000-08-29,,1991 - 1998
8641,1991-08-30,0,0.0,1,clayloam,1991-08-30,2000-08-30,,1991 - 1998
8642,1991-08-31,0,0.0,1,clayloam,1991-08-31,2000-08-31,,1991 - 1998
8643,1991-09-01,0,0.0,1,clayloam,1991-09-01,2000-9-01,,1991 - 1998
8644,1991-09-02,0,0.0,1,clayloam,1991-09-02,2000-9-02,,1991 - 1998
8645,1991-09-03,0,0.0,1,clayloam,1991-09-03,2000-9-03,,1991 - 1998
8646,1991-09-04,0,0.0,1,clayloam,1991-09-04,2000-9-04,,1991 - 1998
8647,1991-09-05,0,0.0,1,clayloam,1991-09-05,2000-9-05,,1991 - 1998
8648,1991-09-06,0,0.0,1,clayloam,1991-09-06,2000-9-06,,1991 - 1998
8649,1991-09-07,0,0.0,1,clayloam,1991-09-07,2000-9-07,,1991 - 1998
8650,1991-09-08,0,0.0,1,clayloam,1991-09-08,2000-9-08,,1991 - 1998
8651,1991-09-09,0,0.0,1,clayloam,1991-09-09,2000-9-9,,1991 - 1998
8652,1991-09-10,0,0.0,1,clayloam,1991-09-10,2000-9-10,,1991 - 1998
8653,1991-09-11,0,0.0,1,clayloam,1991-09-11,2000-9-11,,1991 - 1998
8654,1991-09-12,0,0.0,1,clayloam,1991-09-12,2000-9-12,,1991 - 1998
8655,1991-09-13,0,0.0,1,clayloam,1991-09-13,2000-9-13,,1991 - 1998
8656,1991-09-14,0,0.0,1,clayloam,1991-09-14,2000-9-14,,1991 - 1998
8657,1991-09-15,0,0.0,1,clayloam,1991-09-15,2000-9-15,,1991 - 1998
8658,1991-09-16,0,0.0,1,clayloam,1991-09-16,2000-9-16,,1991 - 1998
8659,1991-09-17,0,0.0,1,clayloam,1991-09-17,2000-9-17,,1991 - 1998
8660,1991-09-18,0,0.0,1,clayloam,1991-09-18,2000-9-18,,1991 - 1998
8661,1991-09-19,0,0.0,1,clayloam,1991-09-19,2000-9-19,,1991 - 1998
8662,1991-09-20,0,0.0,1,clayloam,1991-09-20,2000-9-20,,1991 - 1998
8663,1991-09-21,0,0.0,1,clayloam,1991-09-21,2000-9-21,,1991 - 1998
8664,1991-09-22,0,0.0,1,clayloam,1991-09-22,2000-9-22,,1991 - 1998
8665,1991-09-23,0,0.0,1,clayloam,1991-09-23,2000-9-23,,1991 - 1998
8666,1991-09-24,0,0.0,1,clayloam,1991-09-24,2000-9-24,,1991 - 1998
8667,1991-09-25,0,0.0,1,clayloam,1991-09-25,2000-9-25,,1991 - 1998
8668,1991-09-26,0,0.0,1,clayloam,1991-09-26,2000-9-26,,1991 - 1998
8669,1991-09-27,0,0.0,1,clayloam,1991-09-27,2000-9-27,,1991 - 1998
8670,1991-09-28,0,0.0,1,clayloam,1991-09-28,2000-9-28,,1991 - 1998
8671,1991-09-29,0,0.0,1,clayloam,1991-09-29,2000-9-29,,1991 - 1998
8672,1991-09-30,0,0.0,1,clayloam,1991-09-30,2000-9-30,,1991 - 1998
8673,1991-10-01,0,0.0,1,clayloam,1991-10-01,2000-10-01,,1991 - 1998
8674,1991-10-02,0,0.0,1,clayloam,1991-10-02,2000-10-02,,1991 - 1998
8675,1991-10-03,0,0.0,1,clayloam,1991-10-03,2000-10-03,,1991 - 1998
8676,1991-10-04,0,0.0,1,clayloam,1991-10-04,2000-10-04,,1991 - 1998
8677,1991-10-05,0,0.0,1,clayloam,1991-10-05,2000-10-05,,1991 - 1998
8678,1991-10-06,0,0.0,1,clayloam,1991-10-06,2000-10-06,,1991 - 1998
8679,1991-10-07,0,0.0,1,clayloam,1991-10-07,2000-10-07,,1991 - 1998
8680,1991-10-08,0,0.0,1,clayloam,1991-10-08,2000-10-08,,1991 - 1998
8681,1991-10-09,0,0.0,1,clayloam,1991-10-09,2000-10-9,,1991 - 1998
8682,1991-10-10,0,0.0,1,clayloam,1991-10-10,2000-10-10,,1991 - 1998
8683,1991-10-11,0,0.0,1,clayloam,1991-10-11,2000-10-11,,1991 - 1998
